stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
115901,Hans-Böckler-Str.,8.692477,49.405481,STATION,506926,8692551,49405532,Heidelberg,Hans-Böckler-Straße,BUS,50
115902,Hans-Böckler-Str.,8.692703,49.405515,STATION,506926,8692551,49405532,Heidelberg,Hans-Böckler-Straße,BUS,50
62505,"Neckarhausen Ost",8.605771,49.460212,STATION,508577,8606317,49459144,Edingen-Neckarhausen,"Neckarhausen Ost",BUS,150
62506,"Neckarhausen Ost",8.606452,49.45888,STATION,508577,8606317,49459144,Edingen-Neckarhausen,"Neckarhausen Ost",BUS,50
216501,Wilhelm-Tell-Straße,8.37076,49.49057,STATION,508965,8370387,49490498,"Ludwigshafen am Rh","Oggersheim Wilhelm-Tell-Straße",TRAM,50
414614,"Weinheim Alt. OEG-Bf",8.664895,49.548651,STATION,510424,8664927,49548793,Weinheim,"Alter OEG-Bahnhof",TRAM;BUS;ON_DEMAND,50
414612,"Weinheim Alt. OEG-Bf",8.66516,49.54971,STATION,508028,8665188,49549081,Weinheim,"Alter OEG-Bahnhof",TRAM;BUS;ON_DEMAND,100
414613,"Weinheim Alt. OEG-Bf",8.66504,49.54923,STATION,508028,8665188,49549081,Weinheim,"Alter OEG-Bahnhof",TRAM;BUS;ON_DEMAND,50
414621,"Weinheim Alt. OEG-Bf",8.665147,49.549111,STATION,508028,8665188,49549081,Weinheim,"Alter OEG-Bahnhof",TRAM;BUS;ON_DEMAND,50
555706,Blücherstraße,8.527681,49.487314,STATION,506246,8527707,49487307,Mannheim,"Feudenheim Blücherstraße",TRAM;BUS,50
555702,Blücherstraße,8.527753,49.48734,STATION,506246,8527707,49487307,Mannheim,"Feudenheim Blücherstraße",TRAM;BUS,50
555705,Blücherstraße,8.527475,49.487334,STATION,506246,8527707,49487307,Mannheim,"Feudenheim Blücherstraße",TRAM;BUS,50
85601,Friedelsheim,8.224837,49.45802,STATION,506418,8224941,49458029,Friedelsheim,Bahnhof,TRAM,50
248102,"Neckarau Bahnhof",8.494131,49.455496,STATION,518639,8494195,49455575,Mannheim,"Neckarau Bahnhof",TRAM;BUS,50
144403,"Hkrz Marktplatz",8.795782,49.485324,STATION,506985,8794605,49485464,Heiligkreuzsteinach,Schule,BUS,100
85602,Friedelsheim,8.225118,49.457976,STATION,506418,8224941,49458029,Friedelsheim,Bahnhof,TRAM,50
144404,"Hkrz Marktplatz",8.79683,49.484811,STATION,506983,8796880,49484853,Heiligkreuzsteinach,Marktplatz,BUS,50
248101,"Neckarau Bahnhof",8.494299,49.455403,STATION,506679,8494375,49455431,Mannheim,"Neckarau Bahnhof",TRAM;BUS,50
555701,Blücherstraße,8.527329,49.487379,STATION,506246,8527707,49487307,Mannheim,"Feudenheim Blücherstraße",TRAM;BUS,50
